Date,Close
2022-08-01,2445.2568
2022-08-02,2436.4568
2022-08-03,2441.7039
2022-08-04,2412.1353
2022-08-05,2410.5193
2022-08-08,2426.868
2022-08-09,2414.095
2022-08-10,2443.0889
2022-08-11,2439.858
2022-08-12,2471.4778
2022-08-15,2482.9963
2022-08-16,2538.8115
2022-08-17,2547.1626
2022-08-18,2522.072
2022-08-19,2485.1328
2022-08-22,2449.5974
2022-08-23,2442.2798
2022-08-24,2443.5479
2022-08-25,2466.8313
2022-08-26,2417.7214
2022-08-29,2412.1768
2022-08-30,2398.6357
2022-08-31,2403.2642
2022-09-01,2416.2607
2022-09-02,2403.057
2022-09-06,2385.406
2022-09-07,2422.0234
2022-09-08,2423.1216
2022-09-09,2442.709
2022-09-12,2448.3884
2022-09-13,2404.3347
2022-09-14,2395.2688
2022-09-15,2382.978
2022-09-16,2377.5166
2022-09-19,2383.456
