Date,Close
2022-08-01,2486.196744322367
2022-08-02,2473.786523245644
2022-08-03,2481.2361033041984
2022-08-04,2436.9489849308125
2022-08-05,2434.341756824582
2022-08-08,2459.7535480052456
2022-08-09,2440.080903170642
2022-08-10,2483.177769398052
2022-08-11,2478.632472270854
2022-08-12,2521.0618452215454
2022-08-15,2535.5885651972076
2022-08-16,2601.7136842170526
2022-08-17,2611.210512649209
2022-08-18,2582.4399112222973
2022-08-19,2538.240050535729
2022-08-22,2492.172103430382
2022-08-23,2482.044614267146
2022-08-24,2483.8190180952292
2022-08-25,2515.080072121935
2022-08-26,2445.792466293993
2022-08-29,2437.0154601049767
2022-08-30,2414.407939618339
2022-08-31,2422.339424640088
2022-09-01,2443.504794979366
2022-09-02,2421.9893898822766
2022-09-06,2390.3526464917086
2022-09-07,2452.434869125011
2022-09-08,2454.1081488804825
2022-09-09,2482.6462101403254
2022-09-12,2490.516900320981
2022-09-13,2424.1425564022434
2022-09-14,2408.4910103212255
2022-09-15,2385.682985158282
2022-09-16,2374.846261485731
2022-09-19,2386.6091118885906
